threads,batchSize,elapsedMs,throughputRecPerSec,peakWorkingSetBytes
1,32,396454,574.7072800375328,4200833024
1,32,373152,610.5956821884915,4443262976
1,32,366239,622.1210739435178,4217700352
2,32,183633,1240.7628258537409,4559720448
2,32,200082,1138.7581091752381,4708253696
2,32,221020,1030.8795584110035,4871315456
4,32,156817,1452.9355873406582,4439703552
4,32,118919,1915.968011839992,4126363648
4,32,136368,1670.809867417576,4878147584
8,32,111134,2050.1826623715515,4932481024
8,32,92524,2462.5502572305563,4904644608
8,32,167340,1361.569260188837,4925480960
