mode,epoch,elapsedMs,heapUsedBytes,timestampMs
NONE,1,8798,1189085184,1789630489677
NONE,2,6584,1731198976,1789630496267
NONE,3,6512,1893728256,1789630502780
NONE,4,6851,2530934272,1789630509629
NONE,5,6555,2849132544,1789630516185
NONE,6,6858,3232810496,1789630523047
NONE,7,9968,2418914304,1789630533015
NONE,8,6286,2370830336,1789630539301
NONE,9,6028,3033530368,1789630545330
NONE,10,6159,3254779904,1789630551489
NONE,11,20598,1795162112,1789630572089
NONE,12,23968,2355101696,1789630596056
NONE,13,12894,2828009472,1789630608952
NONE,14,6691,2746220544,1789630615643
NONE,15,9286,1785204224,1789630624931
ENABLED,1,8739,1423593864,1789630636885
ENABLED,2,8974,1846210952,1789630645859
ENABLED,3,8621,2365256072,1789630654482
ENABLED,4,7842,2704994696,1789630662324
ENABLED,5,8475,3027956104,1789630670800
ENABLED,6,14327,2608856976,1789630685128
ENABLED,7,9756,2121269136,1789630694883
ENABLED,8,9986,2679111568,1789630704869
ENABLED,9,8702,3107979152,1789630713573
ENABLED,10,8644,1856820112,1789630722218
ENABLED,11,6326,2373975952,1789630728545
ENABLED,12,6832,2484076432,1789630735377
ENABLED,13,6606,2828009360,1789630741984
ENABLED,14,8591,1995799440,1789630750577
ENABLED,15,6551,2368733072,1789630757127
