mode,epoch,elapsedMs,heapUsedBytes,timestampMs
NONE,1,7979,1290797056,1789630166539
NONE,2,6372,2034237440,1789630172923
NONE,3,7027,2119172096,1789630179949
NONE,4,6793,2471493632,1789630186743
NONE,5,7809,2756750336,1789630194551
NONE,6,17956,2818466304,1789630212509
NONE,7,11897,2295332864,1789630224407
NONE,8,6068,2455764992,1789630230475
NONE,9,16969,2882535424,1789630247444
NONE,10,14724,2126512128,1789630262170
NONE,11,10756,2579496960,1789630272925
NONE,12,8629,2356150272,1789630281546
NONE,13,6935,2976907264,1789630288488
NONE,14,9607,2232418304,1789630298099
NONE,15,7626,2276458496,1789630305723
ENABLED,1,8235,1671889584,1789630317441
ENABLED,2,7729,1847001776,1789630325166
ENABLED,3,7432,2430695600,1789630332603
ENABLED,4,7314,2532501168,1789630339918
ENABLED,5,7393,2867023024,1789630347312
ENABLED,6,17264,3216752816,1789630364567
ENABLED,7,13750,2431708560,1789630378327
ENABLED,8,6025,2489319312,1789630384349
ENABLED,9,6086,2888826768,1789630390429
ENABLED,10,16530,2609905552,1789630406964
ENABLED,11,16634,2146434960,1789630423604
ENABLED,12,17398,2329935760,1789630440996
ENABLED,13,9776,3181379472,1789630450780
ENABLED,14,7482,2768240528,1789630458262
ENABLED,15,6758,2666475408,1789630465021
